company_name;salary
Atos;135000
ХайТэк;24400
Philax;128600
Инлайн Груп;43900
IBS;70600
Oracle;131600
Atos;91000
Itransition;27600
Эвотор;139100
Сател;68800
OCS Distribution;88300
Philax;143000
Ситроникс;122900
АйТеко;39400
Сател;49700
iCore;68100
TerraLink;50800
Инфосистемы Джет;61300
Ростелеком;36900
Микрон;76700
Ростелеком;25900
IBS;87700
ХайТэк;89100
Инфосистемы Джет;130000
Сигма;16100
Инфосистемы Джет;61300
Сигма;100700
TerraLink;128300
Инлайн Груп;114500
Itransition;123800
Ростелеком;53400
Ситроникс;105400
Эвотор;90200
OCS Distribution;83300
Лига Цифровой Экономики;102000
Hikvision;48200
Инфосистемы Джет;98600
Элтекс;21100
Angara;76500
Тринити;20100
Philax;132500
OCS Distribution;45300
IBS;63600
Информзащита;126600
Инфосистемы Джет;39900
Элтекс;10400
Ситроникс;88900
Инлайн Груп;104600
ИнфоТеКС;134800
Инлайн Груп;27300
Гринатом;110400
Сигма;86100
Atos;58900
Philax;129000
Hikvision;38900
Форс;84700
Hikvision;31000
Hikvision;120700
ИнфоТеКС;32800
Philax;110800
iCore;76300
Atos;84400
Аквариус;105500
Тринити;128300
Инлайн Груп;92700
Hikvision;142500
Hikvision;63200
OFT group;55300
Форс;130600
Сигма;119500
Форс;73400
ХайТэк;47400
Philax;101600
Инфосистемы Джет;60500
Softline;11800
Микрон;130900
OFT group;127600
Сигма;30100
TerraLink;46400
Форс;38500
Itransition;24000
Микрон;68200
Микрон;146100
Информзащита;46000
Тринити;28700
Микрон;51600
Эвотор;108900
Ростелеком;64300
ХайТэк;16700
Oracle;35200
АйТеко;34700
Philax;71200
Форс;77700
Angara;51300
Тринити;126400
Форс;21200
Тринити;104000
Softline;66100
Ростелеком;137600
Oracle;126700
Форс;70800
Инлайн Груп;144600
АйТеко;41400
iCore;138000
Инлайн Груп;106300
Информзащита;52400
TerraLink;105500
Микрон;110200
IBS;16000
Itransition;138000
Сигма;23900
Itransition;65000
АйТеко;30800
iCore;53600
OFT group;129700
Микрон;43900
Лига Цифровой Экономики;48400
OCS Distribution;89400
Эвотор;139700
Информзащита;32500
IBS;47100
Itransition;75100
OFT group;81500
OCS Distribution;49600
Микрон;136900
Oracle;63900
Лига Цифровой Экономики;21800
Элтекс;121300
Аквариус;56100
ИнфоТеКС;120500
Лига Цифровой Экономики;59200
Сигма;62900
Ситроникс;92100
Информзащита;78400
ХайТэк;149100
IBS;74000
Oracle;103700
Ситроникс;101600
OFT group;25500
Itransition;82300
Аквариус;58200
OFT group;49100
ХайТэк;51900
Softline;99700
Элтекс;127400
OFT group;149200
Angara;56800
Тринити;44800
Элтекс;10600
Philax;122500
Инфосистемы Джет;139000
IBS;84100
Atos;42900
Элтекс;32800
Информзащита;61400
Микрон;132500
Инлайн Груп;104400
iCore;88600
Softline;93800
Ситроникс;101100
Сател;73300
Hikvision;31800
Сател;130400
iCore;65600
iCore;74700
Itransition;136700
Микрон;71300
Oracle;105800
Atos;55100
Philax;22700
Тринити;87900
Гринатом;138200
Ситроникс;112500
ХайТэк;45100
Инфосистемы Джет;55500
Сател;114500
Микрон;32900
Тринити;80300
OFT group;75200
Элтекс;83400
ИнфоТеКС;104100
OFT group;138600
Микрон;91000
Hikvision;58800
Сигма;84800
Элтекс;25500
Softline;88000
Инлайн Груп;140900
Эвотор;38300
Инлайн Груп;111500
Softline;38700
Angara;97200
Микрон;33100
Информзащита;97700
Элтекс;23900
Сател;96700
Эвотор;51800
Тринити;123900
Гринатом;71600
Форс;19500
iCore;127400
Инфосистемы Джет;138400
Эвотор;114100
ИнфоТеКС;46200
Эвотор;31100
Сател;96100
Инлайн Груп;96000
Angara;39000
Сигма;112200
АйТеко;100200
Softline;30700
АйТеко;130700
Эвотор;88700
Инлайн Груп;25500
Philax;59400
ИнфоТеКС;43900
Atos;15400
Элтекс;129100
Oracle;49600
Oracle;79700
Информзащита;120000
Эвотор;61400
Микрон;93000
АйТеко;145100
Softline;96000
Angara;31400
Тринити;125600
Softline;97400
Эвотор;56800
ХайТэк;77500
Hikvision;22700
Инлайн Груп;26100
Oracle;63900
Тринити;123100
Hikvision;10600
OCS Distribution;84200
Ситроникс;53400
ИнфоТеКС;64200
IBS;47200
OFT group;26300
Инфосистемы Джет;94400
Аквариус;48400
Тринити;52100
Инлайн Груп;111000
iCore;38300
Oracle;108800
Инлайн Груп;98100
iCore;105100
ИнфоТеКС;20800
АйТеко;148100
Oracle;86400
Элтекс;84300
TerraLink;64400
Hikvision;130400
Сател;116000
Гринатом;53200
Элтекс;149900
ХайТэк;21900
Oracle;98800
Элтекс;122600
Itransition;148600
ИнфоТеКС;70100
Гринатом;48800
Микрон;137300
OFT group;52400
ИнфоТеКС;47700
IBS;108500
Oracle;125800
Ростелеком;139800
TerraLink;11100
Эвотор;113600
IBS;96400
Ростелеком;28400
АйТеко;13600
Тринити;147800
АйТеко;26200
ХайТэк;83700
Эвотор;120400
АйТеко;111800
Инфосистемы Джет;123000
OFT group;31400
Инфосистемы Джет;96000
Philax;50200
Информзащита;143100
Angara;131400
Элтекс;138600
Тринити;32200
Itransition;128900
Сигма;83800
Микрон;134300
АйТеко;116700
АйТеко;128300
OCS Distribution;53600
Микрон;126100
Инлайн Груп;147900
Эвотор;77100
IBS;69600
Лига Цифровой Экономики;125800
Hikvision;112700
Philax;26500
Hikvision;77900
Philax;145900
Oracle;122100
Сигма;71500
Инфосистемы Джет;139700
Ростелеком;78100
Аквариус;149400
ХайТэк;21900
Элтекс;119500
OFT group;115400
Сател;77500
Oracle;99900
iCore;82200
Сател;56600
Инфосистемы Джет;113400
ХайТэк;128700
Форс;55400
Аквариус;39800
Информзащита;127600
Гринатом;73300
Oracle;88800
Сател;122500
Инфосистемы Джет;15400
Hikvision;97900
ИнфоТеКС;35700
Инфосистемы Джет;119500
OFT group;37900
Инфосистемы Джет;62000
ИнфоТеКС;100000
OFT group;115900
Softline;74500
OFT group;74900
Инфосистемы Джет;12300
Oracle;51600
Тринити;28400
ИнфоТеКС;101100
TerraLink;64800
Angara;104600
Микрон;122300
Эвотор;103100
Аквариус;109800
Лига Цифровой Экономики;50500
Лига Цифровой Экономики;144200
Эвотор;86200
Atos;35700
Элтекс;72100
Philax;104900
Информзащита;67700
Сател;58500
Сател;138900
Аквариус;31600
ХайТэк;66300
Элтекс;131300
Инфосистемы Джет;69300
Angara;107000
Ростелеком;139900
АйТеко;111000
IBS;43100
Hikvision;134600
Oracle;40500
Philax;72900
OCS Distribution;123900
Itransition;128100
Ростелеком;150000
ХайТэк;58800
Ростелеком;61400
Softline;145900
OCS Distribution;41300
АйТеко;56100
ХайТэк;14500
OFT group;138800
OCS Distribution;80400
Itransition;28000
Ростелеком;110900
Лига Цифровой Экономики;107900
Инлайн Груп;108900
Тринити;145800
TerraLink;56800
Лига Цифровой Экономики;19800
Ситроникс;140300
Сател;20500
TerraLink;73500
Itransition;97200
OFT group;42800
АйТеко;91800
АйТеко;16500
ХайТэк;148500
iCore;128500
Информзащита;50200
Hikvision;87900
Oracle;60500
Сател;119000
Элтекс;131200
Эвотор;120400
Angara;99900
Сигма;122500
Инфосистемы Джет;131900
Элтекс;129500
Hikvision;35000
Сател;40400
Hikvision;84300
Информзащита;136400
Лига Цифровой Экономики;140000
Лига Цифровой Экономики;134000
ХайТэк;100000
Itransition;69300
Philax;110600
TerraLink;126800
Информзащита;79500
TerraLink;124600
Лига Цифровой Экономики;52300
ХайТэк;89200
Atos;42800
Инлайн Груп;109300
Сигма;146600
TerraLink;115000
Сател;83300
ХайТэк;85700
Softline;109500
Itransition;78300
Форс;134300
TerraLink;36400
Ситроникс;77500
Инфосистемы Джет;51000
Элтекс;39800
Аквариус;104800
Softline;108300
Лига Цифровой Экономики;140600
TerraLink;52700
Лига Цифровой Экономики;45200
Softline;140300
OCS Distribution;55100
ХайТэк;13200
Ситроникс;80400
Ситроникс;135200
Аквариус;77400
Микрон;131900
Инлайн Груп;122300
Элтекс;31700
Oracle;22400
Тринити;58800
Микрон;57000
Элтекс;64900
Сигма;15400
iCore;28900
Ростелеком;103000
Информзащита;39500
Itransition;147400
Форс;44300
Сигма;112600
Инфосистемы Джет;149300
Инлайн Груп;10200
Аквариус;10100
Сател;142400
Гринатом;40100
Эвотор;147700
ИнфоТеКС;83500
Philax;18800
Ситроникс;86700
Микрон;97100
Лига Цифровой Экономики;27700
TerraLink;28500
Микрон;70400
Ситроникс;135300
OFT group;119500
Инфосистемы Джет;24200
OCS Distribution;43900
Аквариус;81500
Тринити;120000
Сигма;55800
Инлайн Груп;39700
OFT group;77500
Hikvision;119800
Эвотор;105500
Информзащита;42100
Элтекс;20700
Oracle;66900
IBS;23800
Сигма;95700
Сател;89900
Информзащита;80400
OCS Distribution;137800
OCS Distribution;145500
ИнфоТеКС;48100
Philax;64200
Элтекс;80400
Информзащита;16400
Тринити;97800
Аквариус;57400
Инлайн Груп;96900
Softline;15200
Аквариус;125600
Ростелеком;27000
Гринатом;95300
Hikvision;49800
Itransition;105300
Лига Цифровой Экономики;46400
Atos;39300
Инлайн Груп;36800
Atos;105000
Эвотор;72900
Сател;114000
ХайТэк;59400
OCS Distribution;135800
АйТеко;101100
АйТеко;43300
Тринити;82600
Philax;84200
ИнфоТеКС;101300
Oracle;14000
Инлайн Груп;139900
ИнфоТеКС;133600
Аквариус;106400
Oracle;127400
Softline;59000
TerraLink;130900
Сигма;125100
ХайТэк;105300
IBS;115500
ИнфоТеКС;139000
OCS Distribution;69900
OFT group;99100
Softline;113600
ХайТэк;43100
ХайТэк;137400
ХайТэк;13000
Форс;63400
Эвотор;129900
Форс;134600
Тринити;24800
ИнфоТеКС;17900
Информзащита;23400
OFT group;45600
IBS;74100
ХайТэк;142600
Тринити;17400
Ситроникс;66500
Микрон;88000
Гринатом;12400
ХайТэк;84500
Информзащита;66200
Ситроникс;115900
Ситроникс;15800
Форс;141400
Аквариус;118200
Сигма;83100
Сигма;60100
Гринатом;114300
OFT group;63200
iCore;103800
IBS;144900
Ситроникс;117700
ХайТэк;111000
Эвотор;103600
OCS Distribution;128200
Atos;142900
Микрон;118800
АйТеко;148200
ИнфоТеКС;139100
Philax;127800
ХайТэк;147900
Эвотор;65600
ИнфоТеКС;52600
TerraLink;86100
OFT group;131500
OFT group;85500
Инфосистемы Джет;75700
Philax;39900
Гринатом;117100
Инлайн Груп;100800
ИнфоТеКС;75500
АйТеко;57300
Микрон;117700
iCore;124600
Ситроникс;30900
Ситроникс;91900
Hikvision;11300
Микрон;46000
ХайТэк;139400
Hikvision;90800
Ростелеком;62200
Hikvision;118800
Philax;116900
Oracle;126200
Гринатом;145700
Philax;82700
ХайТэк;74400
Инфосистемы Джет;13200
OFT group;42300
Сигма;59300
OFT group;111700
Ситроникс;139000
Ростелеком;51800
Softline;71400
iCore;128100
IBS;101800
Angara;24700
Эвотор;66700
Информзащита;136100
Сател;83600
Эвотор;50100
АйТеко;23700
Микрон;71600
Тринити;149700
IBS;55000
ИнфоТеКС;136700
Softline;113900
Softline;17600
Angara;51900
ХайТэк;118300
Гринатом;130200
OCS Distribution;65500
Инлайн Груп;55600
IBS;129400
Гринатом;94100
iCore;139700
Angara;112900
ИнфоТеКС;99600
Сигма;131100
Atos;20500
iCore;109700
OCS Distribution;112500
TerraLink;106300
Ростелеком;112400
Softline;59300
IBS;64500
ХайТэк;87900
TerraLink;77100
Информзащита;86700
ХайТэк;81500
Форс;88800
Сател;115000
Элтекс;149700
OCS Distribution;58700
Эвотор;101200
Инфосистемы Джет;63100
Atos;64300
Ситроникс;120200
